"","geoid","state","county","tract","blkgrp","name_1","below_pov","bipoc","bipoc_scor","poverty_sc","rpl_themes","cdc_score","blockgroup","resflood","critflood","comflood"
"124","370210031024","37","021","003102","4","Block Group 4, Census Tract 31.02, Buncombe County, North Carolina",0,18.82,3,1,0.59,3,NA,0,0,0
"125","370210029003","37","021","002900","3","Block Group 3, Census Tract 29, Buncombe County, North Carolina",0,2.26,1,1,0.42,3,NA,0,0,0
"126","370210026051","37","021","002605","1","Block Group 1, Census Tract 26.05, Buncombe County, North Carolina",0,8.42,2,1,0.43,3,NA,0,0,0
"127","370210024011","37","021","002401","1","Block Group 1, Census Tract 24.01, Buncombe County, North Carolina",0,0,1,1,0.47,3,"370210024021",2,0,2
"128","370210028031","37","021","002803","1","Block Group 1, Census Tract 28.03, Buncombe County, North Carolina",22.94,7.03,2,4,0.85,5,NA,0,0,0
"129","370210028032","37","021","002803","2","Block Group 2, Census Tract 28.03, Buncombe County, North Carolina",3.07,6.12,2,2,0.85,5,NA,0,0,0
"130","370210032022","37","021","003202","2","Block Group 2, Census Tract 32.02, Buncombe County, North Carolina",0,3.44,1,1,0.23,2,NA,0,0,0
"131","370210032023","37","021","003202","3","Block Group 3, Census Tract 32.02, Buncombe County, North Carolina",6.22,4.01,1,2,0.23,2,"370210022051",2,0,1
"132","370210024013","37","021","002401","3","Block Group 3, Census Tract 24.01, Buncombe County, North Carolina",19.51,4.82,1,4,0.47,3,NA,0,0,0
"133","370210025042","37","021","002504","2","Block Group 2, Census Tract 25.04, Buncombe County, North Carolina",12.38,2.54,1,3,0.55,3,NA,0,0,0
"134","370210027031","37","021","002703","1","Block Group 1, Census Tract 27.03, Buncombe County, North Carolina",12.81,7.37,2,3,0.18,1,"370210016003",1,1,2
"135","370210016004","37","021","001600","4","Block Group 4, Census Tract 16, Buncombe County, North Carolina",14.67,0.74,1,3,0.56,3,"370210016003",1,1,2
"136","370210032051","37","021","003205","1","Block Group 1, Census Tract 32.05, Buncombe County, North Carolina",5.85,2.97,1,2,0.2,2,NA,0,0,0
"137","370210030013","37","021","003001","3","Block Group 3, Census Tract 30.01, Buncombe County, North Carolina",0,20.05,3,1,0.43,3,"370210017001",1,0,2
"138","370210027011","37","021","002701","1","Block Group 1, Census Tract 27.01, Buncombe County, North Carolina",3.04,5.37,1,2,0.28,2,"370210015001",1,0,3
"139","370210031021","37","021","003102","1","Block Group 1, Census Tract 31.02, Buncombe County, North Carolina",3.36,0.34,1,2,0.59,3,NA,0,0,0
"140","370210030023","37","021","003002","3","Block Group 3, Census Tract 30.02, Buncombe County, North Carolina",5.08,0,1,2,0.53,3,NA,0,0,0
"141","370210029001","37","021","002900","1","Block Group 1, Census Tract 29, Buncombe County, North Carolina",15.57,0,1,3,0.42,3,NA,0,0,0
"142","370210031023","37","021","003102","3","Block Group 3, Census Tract 31.02, Buncombe County, North Carolina",13.26,12.86,2,3,0.59,3,NA,0,0,0
"143","370210031022","37","021","003102","2","Block Group 2, Census Tract 31.02, Buncombe County, North Carolina",0,5.04,1,1,0.59,3,NA,0,0,0
"144","370210027032","37","021","002703","2","Block Group 2, Census Tract 27.03, Buncombe County, North Carolina",2.88,0,1,2,0.18,1,"370210017002",1,0,2
"145","370210030025","37","021","003002","5","Block Group 5, Census Tract 30.02, Buncombe County, North Carolina",10.58,9.43,2,3,0.53,3,"370210030011",2,0,1
"146","370210026043","37","021","002604","3","Block Group 3, Census Tract 26.04, Buncombe County, North Carolina",0,7.58,2,1,0.46,3,NA,0,0,0
"147","370210026071","37","021","002607","1","Block Group 1, Census Tract 26.07, Buncombe County, North Carolina",10.1,5.28,1,3,0.61,4,"370210015001",1,0,3
"148","370210027021","37","021","002702","1","Block Group 1, Census Tract 27.02, Buncombe County, North Carolina",3.12,4.32,1,2,0.28,2,NA,0,0,0
"149","370210032043","37","021","003204","3","Block Group 3, Census Tract 32.04, Buncombe County, North Carolina",7.74,0.74,1,2,0.25,2,NA,0,0,0
"150","370210027033","37","021","002703","3","Block Group 3, Census Tract 27.03, Buncombe County, North Carolina",4.6,2.06,1,2,0.18,1,NA,0,0,0
"151","370210031045","37","021","003104","5","Block Group 5, Census Tract 31.04, Buncombe County, North Carolina",0,0.89,1,1,0.71,4,NA,0,0,0
"152","370210023023","37","021","002302","3","Block Group 3, Census Tract 23.02, Buncombe County, North Carolina",0,6.03,2,1,0.3,2,"370210023021",2,0,1
"153","370210026041","37","021","002604","1","Block Group 1, Census Tract 26.04, Buncombe County, North Carolina",4.04,1.32,1,2,0.46,3,NA,0,0,0
"154","370210026072","37","021","002607","2","Block Group 2, Census Tract 26.07, Buncombe County, North Carolina",22.31,8.43,2,4,0.61,4,"370210014003",1,0,3
